Number of Drones,Attraction Constant,Repulsion Constant,Mean Final Percentage,Std Final Percentage,Mean Data Length,Std Data Length
10,120,360,31.67,16.13,412.8,27.19
10,120,380,40.97,19.1,428.87,45.8
10,120,400,34.3,21.97,419.33,47.16
10,140,0,33.37,23.9,489.87,74.75
10,140,20,35.93,15.44,572.13,151.48
10,140,40,59.0,21.0,485.67,53.67
10,140,60,55.1,16.57,460.87,97.83
10,140,80,61.97,15.14,517.67,71.64
10,140,100,71.57,17.52,442.07,39.65
10,140,120,62.93,18.33,468.4,82.07
10,140,140,53.67,20.7,472.2,79.1
10,140,160,61.77,18.82,475.33,88.03
10,140,180,47.23,17.74,453.8,94.13
10,140,200,53.63,12.99,446.67,44.87
10,140,220,50.4,18.32,429.53,39.37
10,140,240,44.13,16.99,501.8,68.86
10,140,260,41.7,10.69,446.33,45.85
10,140,280,43.8,18.3,483.2,89.29
10,140,300,40.13,16.97,445.87,85.12
10,140,320,39.97,14.68,475.33,67.0
10,140,340,37.33,18.92,460.0,50.12
10,140,360,31.63,16.87,437.87,42.73
10,140,380,32.83,14.7,423.2,36.61
10,140,400,28.17,14.36,457.8,100.72
10,160,0,30.37,10.22,463.13,64.98
10,160,20,51.27,20.71,486.73,93.39
10,160,40,58.57,17.0,521.53,150.94
10,160,60,59.0,11.9,470.2,58.76
10,160,80,62.93,24.78,487.73,71.82
10,160,100,63.17,18.07,511.27,93.08
10,160,120,67.63,10.98,525.33,86.21
10,160,140,64.33,17.91,535.13,122.49
